레시피ID,레시피명,메뉴 대분류,세부 카테고리,주재료,조리 유형,상황 태그,식사 유형,매운맛,기준 인분,재료명,재료 분량,재료 수,총 소요 시간(분),난이도,필요 도구,설거지 수준,조리 단계 수,조리 단계,단계별 시간,불 세기,보관 방법,재가열 방법,대체 재료,생략 가능 재료,초보 팁,실패 방지 팁,초보 적합도(5점),1인 가구 적합도(5점)
R0032,김치비빔국수,면,국수,"[소면, 김치, 오이]","[삶기, 비비기]","[15분 이하, 냄비 하나, 든든한 한 끼, 야식, 남은 재료 활용]","[점심·저녁, 야식]",매움,1인분,"[소면, 배추김치, 오이, 고추장, 고춧가루, 식초, 설탕, 진간장, 참기름, 통깨]","[100g, 100g, 40g, 15g(1큰술), 2g(1작은술), 15ml(1큰술), 10g(2작은술), 5ml(1작은술), 5ml(1작은술), 2g(1/2작은술)]",10,15,쉬움,"[냄비, 체, 칼, 도마, 큰 볼, 집게]",보통,6,"[1. 김치는 1cm 폭으로 자르고 오이는 가늘게 채 썬다. ,  2. 큰 볼에 고추장, 고춧가루, 식초, 설탕, 진간장, 참기름, 통깨를 섞는다. ,  3. 냄비에 물 1L를 끓이고 소면을 넣어 포장 표시 시간 또는 약 3분 30초 삶는다. ,  4. 물이 넘치려 하면 찬물 100ml를 한 번 붓고 면을 저어준다. ,  5. 삶은 면을 체에 밭쳐 찬물에 2~3회 비벼 씻고 물기를 충분히 뺀다. ,  6. 양념 볼에 면과 김치를 넣어 고루 비빈 뒤 오이를 올린다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 3분 30초 ,  4. 약 1분 ,  5. 약 3분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 불 사용 없음]",완성 즉시 먹는다; 삶은 면과 완성품은 보관하지 않는 것이 좋다; 양념은 별도 밀폐 냉장 3일 가능,재가열 권장하지 않음,[소면은 메밀면 또는 중면 100g으로 대체 가능],[오이는 생략 가능; 고춧가루는 생략 가능],면을 삶기 전에 양념과 고명을 모두 준비하고 타이머를 켜면 면이 퍼지는 것을 막기 쉽다.,면의 물기가 남으면 양념이 묽어진다. 체를 여러 번 털어 물기를 빼고 먹기 직전에 비빈다.,4,5
R0033,김치우동,면,우동,"[우동면, 김치, 어묵]",[끓이기],"[15분 이하, 냄비 하나, 든든한 한 끼, 야식]","[점심·저녁, 야식]",약간 매움,1인분,"[냉동 우동면, 배추김치, 어묵, 대파, 물, 김치국물, 국간장, 고춧가루, 다진 마늘]","[1개(200g), 100g, 50g, 15g, 500ml, 30ml(2큰술), 7.5ml(1/2큰술), 1g(1/2작은술), 2g(1/2작은술)]",9,15,매우 쉬움,"[칼, 도마, 냄비, 국자, 젓가락]",보통,6,"[1. 김치는 2cm 폭, 어묵은 1cm 폭, 대파는 어슷하게 썬다. ,  2. 냄비에 물, 김치, 김치국물, 다진 마늘을 넣고 센불에서 끓인다. ,  3. 끓으면 중불로 낮춰 4분 끓인다. ,  4. 어묵과 냉동 우동면을 넣고 면이 풀리도록 젓가락으로 가볍게 푼다. ,  5. 국간장과 고춧가루를 넣고 3분 끓인다. ,  6. 면이 부드러워지고 국물이 다시 끓으면 대파를 넣고 1분 후 불을 끈다.]","[1. 약 1분 ,  2. 약 2분 ,  3. 4분 ,  4. 약 1분 ,  5. 3분 ,  6. 1분]","[1. 불 사용 없음 ,  2. 센 불 ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 불 끔]",완성 즉시 먹는다; 국물만 냉장 2일 가능하며 면은 따로 새로 넣어 끓인다,완성품 재가열 시 면이 퍼질 수 있다,[어묵은 만두 3개 또는 두부 100g으로 대체 가능],[김치국물과 고춧가루는 생략 가능],면을 삶기 전에 양념과 고명을 모두 준비하고 타이머를 켜면 면이 퍼지는 것을 막기 쉽다.,우동면을 오래 끓이면 퍼진다. 국물을 먼저 충분히 끓인 뒤 면은 마지막 3~4분만 익힌다.,5,5
R0034,김치전,반찬,전·부침,[김치],[부치기],"[원팬 요리, 도시락 가능, 밥반찬, 남은 재료 활용]","[점심·저녁, 간식]",약간 매움,1인분,"[배추김치, 부침가루, 물, 김치국물, 대파, 설탕, 식용유]","[150g, 80g, 80ml, 20ml, 15g, 2g(1/2작은술), 20ml(1큰술+1작은술)]",7,18,쉬움,"[칼, 도마, 볼, 프라이팬, 뒤집개]",보통,7,"[1. 김치는 1cm 폭으로 잘게 자르고 대파는 송송 썬다. ,  2. 볼에 부침가루, 물, 김치국물, 설탕을 넣어 가루가 보이지 않을 정도로만 섞는다. ,  3. 김치와 대파를 넣어 한두 번 더 섞는다. ,  4. 프라이팬에 식용유 10ml를 두르고 중불에서 1분 예열한다. ,  5. 반죽을 두 장으로 나눠 각각 지름 14cm, 두께 0.5cm 이하로 얇게 편다. ,  6. 앞면을 3분 굽고 가장자리가 바삭해지면 뒤집어 남은 기름을 가장자리에 두른다. ,  7. 뒷면을 2~3분 더 구워 양면이 노릇하면 꺼낸다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 약 1분 ,  4. 1분 ,  5. 약 1분 ,  6. 3분 ,  7. 2~3분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 중불 ,  5. 불 사용 없음 ,  6. 중불 ,  7. 불 사용 없음]",즉시 먹는 것이 가장 좋다; 냉장 1일,마른 팬 약불에서 앞뒤 2분 또는 에어프라이어 180℃ 4분 재가열,[부침가루는 밀가루 70g+전분 10g+소금 0.5g으로 대체 가능],[대파는 생략 가능],팬을 충분히 예열한 뒤 반죽 가장자리가 굳고 윗면이 반쯤 마를 때 한 번만 뒤집으면 모양이 덜 무너진다.,반죽을 오래 저으면 질겨진다. 가루가 막 섞일 정도로만 젓고 얇게 부친다.,4,4
R0035,김치주먹밥,밥·덮밥,주먹밥,"[밥, 김치, 참치]","[볶기, 섞기, 성형하기]","[15분 이하, 원팬 요리, 도시락 가능, 든든한 한 끼, 남은 재료 활용]",[점심·저녁],약간 매움,1인분,"[밥, 배추김치, 참치 통조림, 김가루, 참기름, 설탕, 식용유, 통깨]","[200g, 70g, 50g, 5g, 5ml(1작은술), 2g(1/2작은술), 5ml(1작은술), 1g]",8,12,매우 쉬움,"[칼, 도마, 프라이팬, 볼, 주걱, 위생장갑]",보통,6,"[1. 김치는 0.5cm 크기로 잘게 자르고 참치는 기름이나 물을 충분히 뺀다. ,  2. 프라이팬에 식용유를 두르고 김치와 설탕을 중불에서 3분 볶는다. ,  3. 볼에 따뜻한 밥, 볶은 김치, 참치, 김가루, 참기름, 통깨를 넣는다. ,  4. 주걱으로 밥알을 으깨지 않게 고루 섞는다. ,  5. 손에 물을 살짝 묻히거나 위생장갑을 끼고 4등분한다. ,  6. 각각 단단하게 뭉쳐 한입 크기 주먹밥으로 만든다.]","[1. 약 3분 ,  2. 3분 ,  3. 약 2분 ,  4. 약 1분 ,  5. 약 1분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 불 사용 없음 ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 불 사용 없음]",가능하면 당일 섭취; 밀폐 냉장 1일,전자레인지 700W에서 젖은 키친타월을 덮고 1분 30초 데운다,[참치는 스팸 50g 또는 계란스크램블 1개로 대체 가능],[김가루와 통깨는 생략 가능],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,김치와 참치 물기를 빼지 않으면 잘 뭉쳐지지 않는다. 재료를 충분히 볶거나 눌러 물기를 제거한다.,5,5
R0036,김치죽,죽,죽,"[밥, 김치, 참치]",[끓이기],"[냄비 하나, 설거지 적음, 아침 식사, 든든한 한 끼, 남은 재료 활용]","[아침, 점심·저녁]",약간 매움,1인분,"[밥, 배추김치, 참치 통조림, 물, 김치국물, 국간장, 참기름, 김가루]","[150g, 80g, 40g(선택), 450ml, 15ml(1큰술), 5ml(1작은술), 5ml(1작은술), 2g]",8,18,매우 쉬움,"[칼, 도마, 냄비, 국자]",적음,6,"[1. 김치는 0.5cm 크기로 잘게 자르고 참치는 기름을 뺀다. ,  2. 냄비에 참기름을 두르고 중불에서 김치를 2분 볶는다. ,  3. 밥, 물, 김치국물을 넣고 밥알을 풀어 센불에서 끓인다. ,  4. 끓으면 중약불로 낮춰 8분간 바닥이 눌지 않게 저어가며 끓인다. ,  5. 참치와 국간장을 넣고 2분 더 끓인다. ,  6. 원하는 농도가 되면 불을 끄고 김가루를 올린다.]","[1. 약 3분 ,  2. 2분 ,  3. 약 1분 ,  4. 8분 ,  5. 2분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 센 불 ,  4. 중약불 ,  5. 중약불 ,  6. 불 끔]",밀폐 냉장 1일,"냄비에 물 30~50ml를 넣어 완전히 끓이거나 전자레인지 700W에서 2분, 중간에 한 번 섞는다",[참치는 생략하거나 잘게 썬 두부 80g으로 대체 가능],[참치는 생략하거나 잘게 썬 두부 80g으로 대체 가능; 김가루는 생략 가능],"냄비 바닥을 긁듯 저으며 중약불을 유지하고, 되직하면 물을 30ml씩 추가해 농도를 맞춘다.",김치국물 양이 많으면 지나치게 짜다. 먼저 15ml만 넣고 마지막에 국간장으로 조절한다.,5,5
R0037,김치찌개,찌개,찌개,"[김치, 돼지고기, 두부]","[볶기, 끓이기]","[냄비 하나, 설거지 적음, 냉동 가능, 든든한 한 끼, 남은 재료 활용]",[점심·저녁],매움,1인분,"[배추김치, 돼지고기 앞다리살, 두부, 양파, 대파, 물, 김치국물, 고춧가루, 국간장, 다진 마늘, 식용유, 설탕]","[180g, 100g, 120g, 1/4개(50g), 15g, 450ml, 30ml, 3g(1/2큰술), 5ml(1작은술), 5g(1작은술), 5ml(1작은술), 2g(1/2작은술)]",12,25,쉬움,"[칼, 도마, 냄비, 국자]",적음,7,"[1. 돼지고기는 3cm, 김치는 2cm 폭, 두부는 2cm, 양파는 1cm 폭으로 썬다. ,  2. 냄비에 식용유를 두르고 중불에서 돼지고기를 2분 볶는다. ,  3. 김치와 설탕을 넣어 3분 더 볶는다. ,  4. 물, 김치국물, 고춧가루, 다진 마늘을 넣고 센불에서 끓인다. ,  5. 끓으면 중불로 낮춰 10분 끓인다. ,  6. 두부와 양파, 국간장을 넣어 4분 끓인다. ,  7. 돼지고기가 완전히 익고 김치가 부드러우면 대파를 넣고 1분 후 마무리한다.]","[1. 약 1분 ,  2. 2분 ,  3. 3분 ,  4. 약 2분 ,  5. 10분 ,  6. 4분 ,  7. 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 중불 ,  4. 센 불 ,  5. 중불 ,  6. 중불 ,  7. 중불]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취; 냉동 2주 가능하나 두부 식감은 떨어진다,냄비에서 완전히 끓인 뒤 2분 가열,[없음],"[돼지고기는 참치 80g, 스팸 80g 또는 생략 가능; 두부와 양파 중 하나는 생략 가능]","재료를 비슷한 크기로 썰고, 끓기 시작한 뒤 불을 낮춘 다음 마지막에 간을 맞춘다.",김치의 염도가 다르므로 국간장은 마지막에 넣는다. 처음부터 간을 세게 하지 않는다.,4,5
R0038,누룽지죽,죽,죽,[누룽지],[끓이기],"[15분 이하, 재료 5개 이하, 냄비 하나, 칼 없이 가능, 설거지 적음, 아침 식사, 든든한 한 끼, 남은 재료 활용]","[아침, 점심·저녁]",없음,1인분,"[마른 누룽지, 물, 소금, 참기름, 김가루]","[80g, 550ml, 0.8g, 2.5ml(1/2작은술, 선택), 2g(선택)]",5,15,매우 쉬움,"[냄비, 국자]",적음,6,"[1. 누룽지를 한입 크기로 부순다. ,  2. 냄비에 누룽지와 물을 넣고 센불에서 끓인다. ,  3. 끓으면 중약불로 낮추고 10분간 끓인다. ,  4. 중간에 두세 번 저어 바닥이 눌어붙지 않게 한다. ,  5. 누룽지가 부드럽게 풀리고 국물이 걸쭉해지면 소금으로 간한다. ,  6. 불을 끄고 참기름과 김가루를 올린다.]","[1. 약 1분 ,  2. 약 2분 ,  3. 10분 ,  4. 약 1분 ,  5. 약 1분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 센 불 ,  3. 중약불 ,  4. 불 사용 없음 ,  5. 중약불 ,  6. 불 끔]",밀폐 냉장 1일,"물 50ml를 더해 냄비에서 완전히 끓이거나 전자레인지 700W에서 2분, 중간에 한 번 섞는다",[소금 대신 국간장 3ml 사용 가능],[참기름과 김가루는 생략 가능],"냄비 바닥을 긁듯 저으며 중약불을 유지하고, 되직하면 물을 30ml씩 추가해 농도를 맞춘다.",처음부터 물을 너무 적게 잡으면 바닥이 쉽게 탄다. 80g 기준 물 550ml를 쓰고 되직하면 물을 추가한다.,5,5
R0039,단무지무침,반찬,무침,[단무지],"[불 사용 없음, 무치기]","[10분 이하, 불 없이 가능, 설거지 적음, 도시락 가능, 밥반찬]",[점심·저녁],약간 매움,1인분,"[단무지, 대파, 고춧가루, 식초, 설탕, 참기름, 통깨]","[100g, 8g, 2g(1작은술), 5ml(1작은술), 2g(1/2작은술), 5ml(1작은술), 2g(1/2작은술)]",7,7,매우 쉬움,"[칼, 도마, 볼, 숟가락]",적음,5,"[1. 단무지는 국물을 빼고 0.5cm 두께로 채 썬다. ,  2. 키친타월로 단무지 표면 물기를 가볍게 눌러 닦는다. ,  3. 대파는 잘게 다진다. ,  4. 볼에 고춧가루, 식초, 설탕, 참기름, 통깨를 섞는다. ,  5. 단무지와 대파를 넣고 양념이 고루 묻도록 30초 버무린다.]","[1. 약 1분 ,  2. 약 1분 ,  3. 약 1분 ,  4. 약 1분 ,  5. 30초]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 불 사용 없음 ,  5. 불 사용 없음]",밀폐 냉장 3일; 차갑게 먹고 재가열·냉동하지 않는다,차갑게 먹고 재가열·냉동하지 않는다,[없음],[대파와 통깨는 생략 가능; 고춧가루는 생략해 새콤한 무침으로 만들 수 있다],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,단무지 국물을 그대로 두면 양념이 묽어진다. 국물을 빼고 표면 물기를 닦는다.,5,5
R0040,닭가슴살 채소볶음,메인요리,볶음,"[닭가슴살, 양배추, 양파]",[볶기],"[원팬 요리, 설거지 적음, 도시락 가능, 든든한 한 끼, 밥반찬, 남은 재료 활용]",[점심·저녁],없음,1인분,"[닭가슴살, 양배추, 양파, 파프리카, 식용유, 굴소스, 진간장, 다진 마늘, 후추, 물]","[150g, 80g, 1/4개(50g), 50g, 10ml(2작은술), 10ml(2작은술), 5ml(1작은술), 3g, 0.1g, 15ml(1큰술)]",10,18,쉬움,"[칼, 도마, 프라이팬, 집게 또는 뒤집개]",적음,7,"[1. 닭가슴살은 두께 1cm, 길이 4cm로 썰고 후추를 뿌린다. ,  2. 양배추, 양파, 파프리카는 한입 크기로 썬다. ,  3. 프라이팬에 식용유를 두르고 중불에서 닭가슴살을 4분 볶는다. ,  4. 닭 표면이 하얗게 익으면 다진 마늘과 양파를 넣어 1분 볶는다. ,  5. 양배추와 파프리카, 물을 넣고 2분 볶는다. ,  6. 굴소스와 진간장을 넣어 2분 더 볶는다. ,  7. 가장 두꺼운 닭 조각을 잘랐을 때 속이 분홍색 없이 익으면 불을 끈다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 4분 ,  4. 1분 ,  5. 2분 ,  6. 2분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 중불 ,  7. 불 끔]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,"전자레인지 700W에서 1분 30초~2분, 중간에 한 번 섞어 중심까지 뜨겁게 데운다","[파프리카는 당근 40g 또는 애호박 60g으로 대체 가능,  굴소스는 진간장 7.5ml+설탕 2g으로 대체 가능]",[없음],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",닭가슴살을 오래 익히면 퍽퍽하다. 1cm 두께로 일정하게 자르고 속이 익는 즉시 불을 끈다.,4,5
R0041,닭갈비,메인요리,볶음,"[닭다리살, 양배추, 양파]",[볶기],"[원팬 요리, 도시락 가능, 든든한 한 끼, 밥반찬]",[점심·저녁],매움,1인분,"[닭다리살, 양배추, 양파, 고구마, 대파, 식용유, 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘, 물]","[180g, 120g, 1/4개(50g), 80g, 20g, 5ml(1작은술), 20g(1큰술), 4g(2작은술), 10ml(2작은술), 8g(2작은술), 10ml(2작은술), 5g(1작은술), 30ml]",13,25,보통,"[칼, 도마, 큰 프라이팬, 뚜껑, 뒤집개]",보통,7,"[1. 닭다리살은 4cm 크기로 자르고 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘과 섞어 5분 둔다. ,  2. 양배추와 양파는 한입 크기, 고구마는 0.7cm 두께 반달 모양, 대파는 4cm로 썬다. ,  3. 팬에 식용유를 두르고 중불에서 양념한 닭을 3분 볶는다. ,  4. 고구마와 물 30ml를 넣고 뚜껑을 덮어 중약불에서 6분 익힌다. ,  5. 양배추와 양파를 넣고 뚜껑을 열어 5분 볶는다. ,  6. 대파를 넣고 2분 더 볶는다. ,  7. 닭 속이 분홍색 없이 익고 고구마가 부드러우면 불을 끈다.]","[1. 5분 ,  2. 약 1분 ,  3. 3분 ,  4. 6분 ,  5. 5분 ,  6. 2분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 중약불 ,  5. 중약불 ,  6. 중약불 ,  7. 불 끔]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,팬에 물 15ml를 넣어 약불로 4분 또는 전자레인지 700W에서 2분 재가열,"[고구마는 감자 100g으로 대체 가능,  맛술은 물 10ml로 대체 가능]",[대파는 생략 가능],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",양념이 쉽게 타므로 센불을 쓰지 않는다. 팬 바닥이 마르면 물을 15ml씩 추가한다.,3,4
R0042,닭다리살 구이,메인요리,구이,[닭다리살],[굽기],"[원팬 요리, 칼 없이 가능, 설거지 적음, 도시락 가능, 든든한 한 끼, 밥반찬]",[점심·저녁],없음,1인분,"[닭다리살, 소금, 후추, 식용유, 다진 마늘, 레몬즙]","[200g, 1.5g, 0.1g, 5ml(1작은술), 3g, 5ml(1작은술, 선택)]",6,20,쉬움,"[키친타월, 프라이팬, 뚜껑, 집게]",적음,7,"[1. 닭다리살을 펼쳐 두꺼운 부분에 칼집을 2~3번 넣고 키친타월로 물기를 닦는다. ,  2. 양면에 소금, 후추, 다진 마늘을 고르게 바른다. ,  3. 프라이팬에 식용유를 두르고 중불에서 1분 예열한다. ,  4. 닭을 껍질 쪽부터 올리고 무거운 뒤집개로 20초 눌러 5분 굽는다. ,  5. 뒤집어 뚜껑을 덮고 중약불에서 5분 익힌다. ,  6. 다시 뒤집어 껍질을 1분 바삭하게 굽는다. ,  7. 가장 두꺼운 부분을 잘라 속이 분홍색 없이 익으면 레몬즙을 뿌린다.]","[1. 약 1분 ,  2. 약 1분 ,  3. 1분 ,  4. 20초 + 5분 ,  5. 5분 ,  6. 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 중불 ,  5. 중약불 ,  6. 중약불 ,  7. 중약불]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,에어프라이어 170℃ 4분 또는 전자레인지 700W 1분 30초 이상 재가열,"[다진 마늘은 마늘가루 0.5g으로 대체 가능,  껍질 없는 닭다리살도 사용 가능]",[레몬즙은 생략 가능],재료 표면의 물기를 닦고 팬을 충분히 예열한 뒤 올리면 달라붙음과 물 생김을 줄일 수 있다.,두꺼운 부분에 칼집을 넣지 않으면 겉은 타고 속은 덜 익을 수 있다. 가장 두꺼운 부분을 반드시 확인한다.,4,4
R0043,닭볶음탕,메인요리,찜·조림,"[닭고기, 감자, 당근]",[조리기],"[냄비 하나, 도시락 가능, 냉동 가능, 든든한 한 끼, 밥반찬, 남은 재료 활용]",[점심·저녁],매움,1인분,"[볶음탕용 닭, 감자, 당근, 양파, 대파, 물, 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘, 후추]","[350g, 1개(180g), 50g, 1/2개(100g), 20g, 400ml, 25g(1큰술+1작은술), 7g(1큰술), 25ml(1큰술+2작은술), 10g(2작은술), 15ml(1큰술), 7g(1/2큰술), 0.1g]",13,40,보통,"[칼, 도마, 깊은 냄비, 국자, 집게]",보통,8,"[1. 닭은 흐르는 물에 빠르게 씻어 뼛가루를 제거하고 물기를 뺀다. ,  2. 감자는 3cm, 당근은 2cm, 양파는 3cm 크기로 썬다. ,  3. 냄비에 닭과 물을 넣고 센불에서 끓여 떠오르는 거품을 걷는다. ,  4. 고추장, 고춧가루, 진간장, 설탕, 맛술, 다진 마늘, 후추를 넣는다. ,  5. 감자와 당근을 넣고 중불에서 뚜껑을 반쯤 덮어 15분 끓인다. ,  6. 양파를 넣고 8분 더 끓인다. ,  7. 닭 가장 두꺼운 살에 분홍색이 없고 감자가 익으면 대파를 넣어 2분 끓인다. ,  8. 국물이 너무 많으면 센불에서 2~3분 졸여 마무리한다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 약 2분 ,  4. 약 1분 ,  5. 15분 ,  6. 8분 ,  7. 2분 ,  8. 2~3분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 센 불 ,  4. 불 사용 없음 ,  5. 중불 ,  6. 중불 ,  7. 중불 ,  8. 센 불]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취; 냉동 2주 가능하나 감자·당근 식감은 떨어진다,냄비에서 완전히 끓여 3분 가열,"[볶음탕용 닭은 닭다리살 250g으로 대체 가능하며 물을 300ml로 줄인다,  맛술은 물로 대체 가능]",[없음],"양념은 불을 켜기 전에 한 그릇에 미리 섞고, 국물이 빨리 줄면 물을 1큰술씩 보충한다.",뼈 있는 닭은 익는 시간이 길다. 가장 큰 조각의 뼈 주변을 확인하고 핏빛이 보이면 5분 더 끓인다.,2,3
R0044,닭죽,죽,죽,"[밥, 닭가슴살, 당근]",[끓이기],"[냄비 하나, 아침 식사, 든든한 한 끼, 남은 재료 활용]","[아침, 점심·저녁]",없음,1인분,"[밥, 닭가슴살, 물, 당근, 양파, 대파, 국간장, 소금, 참기름]","[150g, 100g, 550ml, 20g, 30g, 8g, 5ml(1작은술), 0.8g, 5ml(1작은술)]",9,25,쉬움,"[칼, 도마, 냄비, 국자, 집게]",보통,6,"[1. 닭가슴살은 두께가 고르게 되도록 반으로 저미고 당근과 양파는 잘게 다진다. ,  2. 냄비에 물과 닭가슴살을 넣고 센불에서 끓인 뒤 중불로 8분 삶는다. ,  3. 닭을 꺼내 3분 식힌 뒤 결대로 잘게 찢는다. ,  4. 닭 삶은 물에 밥, 당근, 양파를 넣고 중약불에서 8분 저어가며 끓인다. ,  5. 찢은 닭고기, 국간장, 소금을 넣고 3분 더 끓인다. ,  6. 원하는 농도가 되면 불을 끄고 참기름과 대파를 넣는다.]","[1. 약 1분 ,  2. 8분 ,  3. 3분 ,  4. 8분 ,  5. 3분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 센 불→중불 ,  3. 불 사용 없음 ,  4. 중약불 ,  5. 중약불 ,  6. 불 끔]",밀폐 냉장 1일,"냄비에 물 50ml를 더해 완전히 끓이거나 전자레인지 700W에서 2분 이상, 중간에 한 번 섞어 데운다",[닭가슴살은 닭안심 100g으로 대체 가능],[당근·양파·대파는 일부 또는 전부 생략 가능],"냄비 바닥을 긁듯 저으며 중약불을 유지하고, 되직하면 물을 30ml씩 추가해 농도를 맞춘다.",닭 삶은 물을 버리면 맛이 약해진다. 거품만 걷고 그대로 죽의 육수로 사용한다.,4,5
R0045,대패삼겹살 숙주볶음,메인요리,볶음,"[대패삼겹살, 숙주, 양파]",[볶기],"[15분 이하, 원팬 요리, 설거지 적음, 도시락 가능, 든든한 한 끼, 밥반찬, 남은 재료 활용]",[점심·저녁],없음,1인분,"[대패삼겹살, 숙주, 양파, 대파, 진간장, 굴소스, 다진 마늘, 설탕, 후추, 참기름]","[150g, 180g, 1/4개(50g), 20g, 10ml(2작은술), 10ml(2작은술), 3g, 2g(1/2작은술), 0.1g, 2.5ml(1/2작은술)]",10,15,쉬움,"[칼, 도마, 큰 프라이팬, 집게]",적음,7,"[1. 숙주는 흐르는 물에 씻어 체에 밭쳐 물기를 충분히 뺀다. ,  2. 양파는 0.5cm 두께, 대파는 어슷하게 썬다. ,  3. 달군 팬에 대패삼겹살을 넣고 중강불에서 3분 볶는다. ,  4. 고기에서 기름이 나오면 양파, 대파, 다진 마늘을 넣어 1분 볶는다. ,  5. 진간장, 굴소스, 설탕, 후추를 넣고 30초 섞는다. ,  6. 숙주를 넣고 중강불에서 2분만 빠르게 볶는다. ,  7. 숙주가 살짝 숨이 죽고 고기가 완전히 익으면 불을 끄고 참기름을 넣는다.]","[1. 약 2분 ,  2. 약 1분 ,  3. 3분 ,  4. 1분 ,  5. 30초 ,  6. 2분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중강불 ,  4. 중강불 ,  5. 불 사용 없음 ,  6. 중강불 ,  7. 불 끔]",조리 후 2시간 안에 밀폐 냉장하고 1일 이내 섭취; 냉동 비추천,전자레인지 700W에서 1분 30초 이상 중심까지 뜨겁게 데운다,"[대패삼겹살은 얇은 목살 150g으로 대체 가능,  굴소스는 진간장 5ml+설탕 1g으로 대체 가능]",[없음],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",숙주 물기를 빼고 마지막에 넣어 2분만 볶는다. 오래 익히면 물이 많이 생기고 질겨진다.,4,4
